text,label
"Says the Annies List political group supports third-trimester abortions on demand.","FALSE"
"When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.","TRUE"
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","TRUE"
"Health care reform legislation is likely to mandate free sex change surgeries.","FALSE"
"The economic turnaround started at the end of my term.","TRUE"
"The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.","TRUE"
"Jim Dunnam has not lived in the district he represents for years now.","FALSE"
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.","TRUE"
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.","TRUE"
"Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.","TRUE"
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","TRUE"
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","TRUE"
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","FALSE"
"The economy bled $24 billion due to the government shutdown.","TRUE"
"Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.","FALSE"
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.","TRUE"
"McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.'","TRUE"
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out","FALSE"
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","TRUE"
"Almost 100,000 people left Puerto Rico last year.","TRUE"
"Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.","FALSE"
"The United States has the highest corporate tax rate in the free world.","TRUE"
"We just had the best year for the auto industry in America in history.","TRUE"
"Says Scott Walker favors cutting up to 350,000 families and children off health care.","TRUE"
"Says Mitt Romney wants to get rid of Planned Parenthood.","FALSE"
"I dont know who (Jonathan Gruber) is.","FALSE"
"Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.","TRUE"
"Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.","TRUE"
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","FALSE"
"Youth unemployment in minority communities is about 40 to 45 percent.","TRUE"
"Says Paul Ryan is still endorsing Trump.","TRUE"
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","FALSE"
"What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.","FALSE"
"We cut business taxes so today 70 percent of our businesses dont pay a business tax.","TRUE"
"Says Mark Pryor votes with Obama 93 percent of the time.","TRUE"
"We have a federal government that thinks they have the authority to regulate our toilet seats.","TRUE"
"Austin is a city that has basically doubled in size every 25 years or so since it was founded.","TRUE"
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.","TRUE"
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","FALSE"
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.","TRUE"
"Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.","FALSE"
"Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.","TRUE"
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","FALSE"
"Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.","FALSE"
"We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.'","FALSE"
"African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.","TRUE"
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","FALSE"
"President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.","FALSE"
"It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.","FALSE"
"Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.","TRUE"
